Средняя длина предложения: 30.147335423197493
Средняя длина слова: 5.248830196526984
Частота букв:
a - 0.3911822813767287
b - 0.07517936986586253
c - 0.2078610793386711
d - 0.22085889570552147
e - 0.6016429239887698
f - 0.09951128210460643
g - 0.09244047000103983
h - 0.22678589996880524
i - 0.3562441509826349
j - 0.012893833835915566
k - 0.04356868046168244
l - 0.1895601538941458
m - 0.14318394509722365
n - 0.3752729541437039
o - 0.36570656129770196
p - 0.09951128210460643
q - 0.00561505667047936
r - 0.3170427368202142
s - 0.317146719351149
t - 0.4293438702298014
u - 0.16169283560361858
v - 0.042528855152334406
w - 0.07341166683997088
x - 0.011334095871893522
y - 0.08121035666008111
z - 0.008630550067588645
